Renters_percent,avgCommuteTime,medHouseIncome,medianSalePrice,neighborhood,url_OwnersvsRenters
,,,0,Tri-Taylor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403321&regionType=8&service=chart
,,,0,Ravenswood Manor,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403290&regionType=8&service=chart
,,,0,Lake Meadows,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403144&regionType=8&service=chart
,,,0,The Bush,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403359&regionType=8&service=chart
,,,0,Marynook,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403358&regionType=8&service=chart
,,,635000,West De Paul,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403309&regionType=8&service=chart
,,,340000,West Morgan Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403373&regionType=8&service=chart
,,,137500,Stony Island Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403128&regionType=8&service=chart
,,,0,Belmont Terrace,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403282&regionType=8&service=chart
,,,0,Princeton Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403362&regionType=8&service=chart
,,,0,Fifth City,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403319&regionType=8&service=chart
,,,0,Prairie Shores,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140000&regionType=8&service=chart
,,,0,The Gap,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403346&regionType=8&service=chart
,,,0,Edgewater Glen,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403258&regionType=8&service=chart
,,,290000,Dearborn Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403344&regionType=8&service=chart
,,,0,South East Ravenswood,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403293&regionType=8&service=chart
,,,0,Kennedy Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403371&regionType=8&service=chart
0.63968356,34.61302,19246.31792,0,Fuller Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=269581&regionType=8&service=chart
,,,0,Cottage Grove Heights,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403383&regionType=8&service=chart
,,,0,Altgeld Gardens,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=137228&regionType=8&service=chart
,,,0,Little Calumet River,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403390&regionType=8&service=chart
,,,0,O'Hare International Airport,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403159&regionType=8&service=chart
,,,218000,Printers Row,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403343&regionType=8&service=chart
,,,0,Lakewood - Balmoral,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403260&regionType=8&service=chart
,,,0,Jackson Park Highlands,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403354&regionType=8&service=chart
,,,0,LeClaire Courts,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403334&regionType=8&service=chart
,,,0,Tally's Corner,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403370&regionType=8&service=chart
,,,0,Illinois Medical District,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403328&regionType=8&service=chart
,,,0,The Robert Taylor Homes,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403350&regionType=8&service=chart
,,,0,Cabrini Green,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403302&regionType=8&service=chart
,,,0,River West,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403297&regionType=8&service=chart
0.48040254,42.19834239,33789.71281,0,Pullman,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=140024&regionType=8&service=chart
,,,0,South Old Irving Park,http://www.zillow.com/app?chartType=home_ownVsRent&graphType=barChart&regionId=403316&regionType=8&service=chart
